HerbariumID,Bild,DB,Family,FullNameCache,Anmerkungen,Sammlerteam,Sammelnummer,CollectionDateBegin,CollectionDateEnd,Country,Locality,TitelEtikett,Expeditionsangabe,ShowOnMap,Latitude,Longitude,FundortUNdOeko,NameCache,Genus,Identifier,Barcode,StableURI
B700009101,,JACQ,MORCHELLACEAE,Verpa conica (O. F. Müll.) Sw.,MTB 1740,"Schmidt,I.",s.n.,1985-05-21,,Germany,"Landkreis Nordvorpommern, Ribnitz-Damgarten",,,https://www.openstreetmap.org/?mlat=54.25&mlon=12.4667#map=15/54.25/12.4667,54.25,12.466670036315918,,Verpa conica,Verpa,D. Benkert,B 70 0009101,https://herbarium.bgbm.org/object/B700009101
B100300994,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100300994/manifest.json,BGBM,CYPERACEAE,Carex acutiformis Ehrh.,"GBOL, Blattmaterial entnommen; Georeferenzierung nachträglich","Darmer,G.",s. n.,1986-07-11,,Germany,"Germany: Hessen, Berkatal b. Albungen, unterh. Bilstein. im Bereich eines verlandeten Fischteichs. Alt.: 180m. 11.07.1986, Leg.: G. Darmer s. n. ex herb. / ded. : ex Herbarium BSB 12923.",,,https://www.openstreetmap.org/?mlat=51.2253&mlon=9.96361#map=15/51.2253/9.96361,51.22528076171875,9.96360969543457,"Germany: Hessen, Berkatal b. Albungen, unterh. Bilstein. im Bereich eines verlandeten Fischteichs.",Carex acutiformis,Carex,R. Hand,B 10 0300994,https://herbarium.bgbm.org/object/B100300994
B101306775,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101306775/manifest.json,JACQ,CHENOPODIACEAE,Chenopodium album L.,"Herbarium Antonia Marx; PRN2024-006; Herbarbeleg aus der Lehrveranstaltung Exkursionen zur Vegetationsökologie TU Berlin, Institut für Ökologie, Dr. Birgit Seitz","Marx,Antonia",s.n.,2022-08-09,,Germany,"NSG 250 Insel Koos, Kooser See und Wampener Riff, nordöstlich von Greifswald",,,,,,,Chenopodium album,Chenopodium,A. Marx,B 10 1306775,https://herbarium.bgbm.org/object/B101306775
B200224924,https://image.bgbm.org/images/internal/HerbarThumbs/B200224924_1700,VVis,,Blechnum boreale Swartz.,MUSEUM BOTANICUM BEROLINENSE Mus. Bot. Berol. Außerrheinisches Herbar des Naturhistorischen Vereins für die Rheinlande und Westfalen IMAGE 2025,Fauchert.,,,,Germany,", , Riesengrund in Riesengebirge!",,,,,,,Blechnum boreale,Blechnum,,B 20 0224924,https://herbarium.bgbm.org/object/B200224924
JACQID1061399,,JACQ,AMARANTHACEAE,Amaranthus retroflexus L.,MTB: 3641/2,"Willing,R. & Willing,E.",11245 D,1999-09-08,,Germany,"Brandenburg, S Schmerzke",,,https://www.openstreetmap.org/?mlat=52.38&mlon=12.5933#map=15/52.38/12.5933,52.380001068115234,12.59333038330078,,Amaranthus retroflexus,Amaranthus,E.Willing,JACQ-ID 1061399,https://herbarium.bgbm.org/object/JACQID1061399
JACQID1062404,,JACQ,ASTERACEAE,Artemisia campestris L.,MTB: 4138/1/1/2,"Willing,R. & Willing,E.",22753 D,2007-08-18,,Germany,"Sachsen-Anhalt, W Steckby",,,https://www.openstreetmap.org/?mlat=51.8958&mlon=12.0208#map=15/51.8958/12.0208,51.89582824707031,12.020830154418944,,Artemisia campestris,Artemisia,E.Willing,JACQ-ID 1062404,https://herbarium.bgbm.org/object/JACQID1062404
B700008276,,JACQ,PYRONEMATACEAE,Scutellinia nigrohirtula (Svrček) Le Gal,MTB 3643,"Benkert,D.",s.n.,1986-11-02,,Germany,"Landkreis Potsdam-Mittelmark, bei Glindow, Glindower Tongruben",,,https://www.openstreetmap.org/?mlat=52.3667&mlon=12.9#map=15/52.3667/12.9,52.366668701171875,12.899999618530272,,Scutellinia nigrohirtula,Scutellinia,T. Schumacher,B 70 0008276,https://herbarium.bgbm.org/object/B700008276
B101138460,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101138460/manifest.json,JACQ,ASTERACEAE,"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",,"Oberprieler,B. & Oberprieler,C.",955-1,1988-07-19,,Germany,"Bayern, Landkreis Main-Spessart, Rhön, Forst Aura NNE von Markt Burgsinn, durch den Forst führende ""Hochstraße"" östlich der Säufzigspitze, Lichtung ca. 3 km nördlich der Abzweigung von der Strasse Burgsinn-Gräfendorf, Alt.: 400m.",,,https://www.openstreetmap.org/?mlat=50.1739&mlon=9.70694#map=15/50.1739/9.70694,50.17388916015625,9.706939697265623,,Senecio ovatus,Senecio,Ch. Oberprieler,B 10 1138460,https://herbarium.bgbm.org/object/B101138460
B101213015,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101213015/manifest.json,HERB,BETULACEAE,Betula verrucosa,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",Roman Schulz,,1893-01-01,1893-12-31,Germany,"Germany: Brandenburg. Spandau-Nauen: Auf der Grossen Faulen Lake (jetzt Waldheim) bei Finkenkrug. 1893, Leg.: Roman Schulz.",,,https://www.openstreetmap.org/?mlat=52.5784&mlon=13.05#map=15/52.5784/13.05,52.578407287597656,13.049983024597168,,Betula verrucosa,Betula,,B 10 1213015,http://herbarium.bgbm.org/object/B101213015
B101022335,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101022335/manifest.json,JACQ,ZANNICHELLIACEAE,Zannichellia palustris L.,"[Date: date of gathering, or date of receipt?]",Bauer,s.n.,1849,,Germany,Darmstadt,,,,,,,Zannichellia palustris,Zannichellia,Anonymous,B 10 1022335,https://herbarium.bgbm.org/object/B101022335
