FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Acorus calamus L.,Germany,Provinz Brandenburg.,,,1860,True,likely,68,medium,0.675,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1860 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,Potsdam.,,,1882-06,True,likely,61,medium,0.6138888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1882 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,"Provinz Brandenburg, Oderberg, in der Alten Oder bei Bralitz.",,,1903-07-23,True,likely,56,medium,0.5555555555555556,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1903 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,"Provinz Brandenburg, Spandau.",,,1895-07-16,True,likely,58,medium,0.5777777777777777,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1895 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,"Provinz Brandenburg, Spandau.",,,1905-05-14,True,likely,55,medium,0.55,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1905 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,Mecklenburg.,,,1906-07,True,likely,55,medium,0.5472222222222223,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1906 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,Mecklenburg.,,,1910-07,True,likely,54,medium,0.5361111111111111,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1910 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,Thüringen.,,,1887,True,likely,60,medium,0.6,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1887 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,Thüringen/Berka a. Ilm.,,,1908-07,True,likely,54,medium,0.5416666666666666,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1908 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Acorus calamus L.,Germany,an der Saar.,,,1905-07-16,True,likely,55,medium,0.55,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1905 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Geranium platypetalum Fisch. & C. A. Mey.,Germany,"crescit in montib. Talysch / Asiae; e h. bot. Bonn  [cultivated in Hortus botanicus Bonn, originating from Azerbaijan]",,,1835-07-08,True,confirmed,74,medium,0.7444444444444445,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1835 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Geranium bohemicum,Germany,"Germany: Liegnitz. Jul 1862, Leg.: C. Baenitz s.n.",,,1862-07,True,likely,67,medium,0.6694444444444445,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1862 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Geranium bohemicum,Germany,"Germany: Niesky, Ob. Lausitz. 1850, Leg.: H. W. Buek s.n.",,,1850,True,confirmed,70,medium,0.7027777777777777,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1850 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Begonia cucullata var. cucullata Willd.,Germany,Cultivated in Bot. Garden Berlin (Hort. Berol.),,,1844-09,True,confirmed,72,medium,0.7194444444444444,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1844 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Cestrum aurantiacum Lindl.,Germany,cult. hort. bot. Bonn. [Cultivated in Hortus botanicus Bonn],,,1848,True,confirmed,71,medium,0.7083333333333334,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1848 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Cachrys involucrata,Germany,"Germany: Cult. im Bot. Garten Bonn. 1844, Leg.: L. C. Treviranus s.n.",,,1844,True,confirmed,72,medium,0.7194444444444444,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1844 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Veronica acinifolia,Germany,"Germany: Gießen, Äcker bei Wieseck. 9.V.97, Leg.: Dürer s.n.",,,1897-05-09,True,likely,57,medium,0.5722222222222222,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1897 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Allium strictum Schrad.,Germany,"Germany: 16.7.1889, Leg.: unclear s.n.",,,1889-07-16,True,likely,59,medium,0.5944444444444444,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1889 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Allium strictum Schrad.,Germany,"Germany: 1863, Leg.: Roemer s.n.",,,1863,True,likely,67,medium,0.6666666666666667,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1863 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Allium strictum Schrad.,Germany,"Germany: Hessen, am Bielstein. 07.1910, Leg.: unclear 5501.",,,1910-07,True,likely,54,medium,0.5361111111111111,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1910 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Allium strictum Schrad.,Germany,"Germany: Meißen. 1875, Leg.: C. Ruppert s.n.",,,1875,True,likely,63,medium,0.6333333333333333,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1875 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Allium strictum Schrad.,Germany,"Germany: Löwenberg. 28.Juli 1870, Leg.: Dresler s.n.",,,1870-07-28,True,likely,65,medium,0.6472222222222223,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1870 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Ficus pertusa L. f.,Germany,Hort. bot. berol. [cultivated in the Botanical Garden Berlin],,,1846-09-17,True,confirmed,71,medium,0.7138888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1846 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Hypoxis colchicifolia Baker,Germany,"Port Natal. Nietner sem. Schönhausen Mai 65. [cultivated in the garden of Schloss Schönhausen, Berlin Niederschönhausen (Pankow) (ca. 52°34'48.0""N 13°24'19.2""E). From seeds originally collected in South Africa, Port Natal [Durban, KwaZulu-Natal] as ‘Spec. Port Natal’]. [protologue: ‘seeds received 1853; germinated 1854; the only flowering plant collected may 1856 by Theodor C.G. Nietner.]",52.58000183105469,13.405280113220217,1856-05,True,likely,69,medium,0.6861111111111111,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1856 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Rubus platycephalus,Germany,"Germany: 24.7.1898, Leg.: E. Kaufmann s.n.",,,1898-07-24,True,likely,57,medium,0.5694444444444444,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1898 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca sativa L.,Germany,"Germany: Wrietzen [Wriezen]. 22.8.1855, Leg.: Schäde s.n.",,,1855-08-22,True,likely,69,medium,0.6888888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1855 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca sativa L.,Germany,"Germany: Weimar. 12.10.1912, Leg.: J. F. N. Bornmüller s.n.",,,1912-10-12,True,likely,53,medium,0.5305555555555556,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1912 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca sativa L.,Germany,"Germany: Wrietzen [Wriezen]. 18.7.1857, Leg.: Schäde s.n.",,,1857-07-18,True,likely,68,medium,0.6833333333333333,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1857 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca sativa L.,Germany,"Germany: Wrietzen [Wriezen]. 18.7.1857, Leg.: Schäde s.n.",,,1857-07-18,True,likely,68,medium,0.6833333333333333,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1857 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca sativa L.,Germany,"Germany: 10.1887, Leg.: Stolten s.n.",,,1887-10,True,likely,60,medium,0.6,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1887 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: Carriéres de Niedermendig près Laach. 8.1863, Leg.: Anonymous collector s.n.",,,1863-08,True,likely,67,medium,0.6666666666666667,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1863 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: Gr. Lichterfe[lde]. 12.08.1906, Leg.: Anonymous collector s.n.",,,1906-08-12,True,likely,55,medium,0.5472222222222223,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1906 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: ex herb. Bothe. 10.8.1913, Leg.: Anonymous collector s.n.",,,1913-08-10,True,likely,53,medium,0.5277777777777778,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1913 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,Wrietzen [Wriezen],,,1857-07-20,True,likely,68,medium,0.6833333333333333,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1857 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: Thüringen. 1.10.1909, Leg.: J. F. N. Bornmüller s.n.",,,1909-10-01,True,likely,54,medium,0.5388888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1909 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: Thüringen. 09.1912, Leg.: J. F. N. Bornmüller s.n.",,,1912-09,True,likely,53,medium,0.5305555555555556,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1912 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: Wettin. 7.1843, Leg.: Andrae s.n.",,,1843-07,True,confirmed,72,medium,0.7222222222222222,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1843 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: 23.8.1900, Leg.: Dürer s.n.",,,1900-08-23,True,likely,56,medium,0.5638888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1900 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: 1891, Leg.: Köppel s.n.",,,1891,True,likely,59,medium,0.5888888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1891 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lactuca serriola L.,Germany,"Germany: 1864, Leg.: Köppel s.n.",,,1864,True,likely,66,medium,0.6638888888888889,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1864 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lathyrus gmelinii Fritsch,Germany,"Germany: Freiburg. Juli 1872, Leg.: Spiess s.n.",,,1872-07,True,likely,64,medium,0.6416666666666666,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1872 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lathyrus gmelini (Fisch. ex Ser.) Fritsch,Germany,Karlshof,,,1859,True,likely,68,medium,0.6777777777777778,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1859 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lathyrus gmelinii Fritsch,Germany,"Germany: Nebelhorn bei Oberstdorf. 12.7.1899, Leg.: Rottenbach s.n.",,,1899-07-12,True,likely,57,medium,0.5666666666666667,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1899 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lathyrus pannonicus subsp. collinus (Ortmann) Soó,Germany,"Germany: 1892, Leg.: Hermann 19746.",,,1892,True,likely,59,medium,0.5861111111111111,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1892 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
Lathyrus pannonicus subsp. pannonicus,Germany,"Germany: 6 / 1885, Leg.: J. Wiesbauer s.n.",,,1885-06,True,likely,61,medium,0.6055555555555555,date_outlier_detector,collectionDateBegin,1,False,"Collection year 1885 is outside IQR fence [1923.0, 2067.0].",Medium outlier detected in collectionDateBegin by date_outlier_detector.
