FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Euphrasia frigida Pugsley,Germany,"Deutschland, Bayern, Regierungsbezirk Unterfranken, Landkreis Rhön-Grabfeld, Gemeinde Bischofsheim an der Rhön, Rhön, Osthessisches Bergland, Dachsloch, südlich ""Rhönhäuschen"" nahe der bayerisch-hessischen Grenze südlich des Schwedenwalles, 50°25'56''N, 9°58'12''E, MTB 5525/42, UTM NA 3, 780 m ü. NN",50.432220458984375,9.970000267028809,1994-06-11,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Centaurea montana L.,Germany,"Regierungsbezirk Oberbayern, Landkreis Miesbach, Fußweg im Uferwald entlag des N-Ufers der Mangfall zwischen Rainmühle und Thalmühl, in der Nähe des Wehrs an der Kläranlage.",47.76667022705078,11.76667022705078,1993-05-23,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Acer negundo L.,Germany,"Germany: Bayern. Regierungsbezirk Oberpfalz, Stadtkreis Regensburg: Donauebene. Regensburg-Schwabelweis, linkes Donauufer ca. 70 m stromaufwärts von Fluß-Km 2375. 328 m Meereshöhe. In uferbegleitendem Weidengebüsch. 1991-05-15, Leg.: F. Schuhwerk 91/130.",49.01910018920898,12.15880012512207,1991-05-15,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Centaurea montana L.,Germany,"Regierungsbezirk Oberbayern, Landkreis Miesbach, Fußweg im Uferwald entlag des N-Ufers der Mangfall zwischen Rainmühle und Thalmühl, in der Nähe des Wehrs an der Kläranlage.",47.76667022705078,11.76667022705078,1993-05-23,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737.",46.346675872802734,11.449792861938477,2002-05-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, ""Gletscherboden"", Gletschervorfeld des Rhônegletschers. Rohböden auf Moränenmaterial. Höhe: 1770 - 1790m.] leg. Drescher, Drescher 8/1999. 2002-05-28, Leg.: Cubr 39738.",46.56666564941406,8.366666793823242,2002-05-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem. BG-Ort: EW-01-006-03. Herkunft: Salzburg Botanischer Garten der Universität Salzburg, c/o Institut für Botanik der Universität, Abteilung f. Systematik u. Geobotanik Österreich: Salzburg, Dienten, 3 km E Dienten, SW Dientner Sattel, Hochmoorrest und Randbereiche, Torf, Höhe: 1320 m, leg. Gruber 8/2000. 2002-05-14, Leg.: Cubr 39611.",47.3869514465332,13.032703399658203,2002-05-14,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Crepis conyzifolia (Gouan) A.Kern.,Germany,"Germany: Bayern. Allgäuer Alpen, Oberstdorf, Söllerkopf - Schlappolt-Alm, Wi. Alt.: 1750-1900 m. 14.08.2001, Leg.: R. Vogt 15753.",47.36027908325195,10.22972011566162,2001-08-14,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Luzula nivea (L.) DC.,Germany,"Germany: Bayern, Hoher Kreuzberg, Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Südabfall des H. Kreuzberges zwischen 'Auf der Hochbrücke' und der großen Forststraßenkehre oberhalb der Forststraße, TK 8533/3. Südhang, Hauptdolomit, Buchenwald (Seslerio-Fagetum). Alt.: 1320m. 13.07.1999, Leg.: R. Urban s. n. ex herb. / ded. : Société pour l'Échange des Plantes Vasculaires de .",47.44694900512695,11.218609809875488,1999-07-13,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin- Dahlem, Revier: AG. BG Herk.: Oslo University of Oslo Botanical Garden [Wildherk.: Norwegen: Akershus, Enebakk, Omberg, Höhe: 180m] leg. Bjureke 30.07.1998. 2001-06-18, Leg.: Cubr 38671.",59.7335090637207,11.09965705871582,2001-06-18,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: AG, BG Herk.: Oslo University of Oslo Botanical Garden, Wildherk.: Norwegen: Akerhus, Nes, S. Rakeie, Höhe: 280m leg. Bjureke 20.8.1999. 2001-06-18, Leg.: Cubr 38672.",60.03799819946289,11.82800006866455,2001-06-18,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Deutschland, Bayern, Oberallgäu, Immenstadt, Immerstädterhorn. leg. Loose 1.1.2000. 2002-05-28, Leg.: Cubr 39739.",47.55402374267578,10.186805725097656,2002-05-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Atocion rupestre (L.) Oxelman,Germany,"Germany: Bayern, Oberstdorf, Laufbacher Eck, Beginn des Grats wenige m NE/oberhalb Wegkreuzung, TK 8628/1. Alt.: 2150m. 07.07.2001, Leg.: R. Hand & B. Raab 3432. ex herb. / ded. : ex Herbarium Ralf Hand.",47.383338928222656,10.366669654846191,2001-07-07,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Kobresia myosuroides (Vill.) FIori,Germany,"Germany: Bayern. Oberstdorf, Fellhorngebiet, 150 m E Wirtshaus Adlerhof am Fuß der Kanzelwand, Bereich Endstation Zweiländerbahn. Alt.: 1960 m. 11.08.1999, Leg.: R. Hand, A. Krause & B. Raab 3489.",47.33583068847656,10.206669807434082,1999-08-11,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Impatiens sp.,Germany,"Germany: Bayern. Lkr. Garmisch-Partenkirchen, SW Krün. Mähwiesen, Krautfluren in Laub-Fichtenwald, 882 m. 2001-08-05, Leg.: Rita & Eckhard Willing 15.490 D.",47.49800109863281,11.262499809265137,2001-08-05,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
