FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737.",46.346675872802734,11.449792861938477,2002-05-28,True,fuzzy,8,info,0.0786113234616063,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 46.346675872802734 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, ""Gletscherboden"", Gletschervorfeld des Rhônegletschers. Rohböden auf Moränenmaterial. Höhe: 1770 - 1790m.] leg. Drescher, Drescher 8/1999. 2002-05-28, Leg.: Cubr 39738.",46.56666564941406,8.366666793823242,2002-05-28,True,fuzzy,8,info,0.0771286189809347,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 46.56666564941406 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin- Dahlem, Revier: AG. BG Herk.: Oslo University of Oslo Botanical Garden [Wildherk.: Norwegen: Akershus, Enebakk, Omberg, Höhe: 180m] leg. Bjureke 30.07.1998. 2001-06-18, Leg.: Cubr 38671.",59.7335090637207,11.09965705871582,2001-06-18,True,fuzzy,10,info,0.1016143127471431,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 59.7335090637207 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: AG, BG Herk.: Oslo University of Oslo Botanical Garden, Wildherk.: Norwegen: Akerhus, Nes, S. Rakeie, Höhe: 280m leg. Bjureke 20.8.1999. 2001-06-18, Leg.: Cubr 38672.",60.03799819946289,11.82800006866455,2001-06-18,True,fuzzy,10,info,0.1036665326858833,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 60.03799819946289 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG - 01 - 001 - 02, Herkunft: Lautaret Station Alpine du Lautaret, Frankreich: Reg. du Col du Lautaret, Lautaret, Höhe: 2100m. 2003-05-27, Leg.: Cubr 40600.",45.03542709350586,6.404471397399902,2003-05-27,True,fuzzy,9,info,0.08744898160321,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 45.03542709350586 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Potamogeton obtusifolius,Germany,"Germany: Nordrhein-Westfalen. Sümpfe, Aachen. 1855, Leg.: Roemer.",50.7996711730957,6.091446876525879,1855-01-01,True,fuzzy,8,info,0.0761222504147207,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.091446876525879 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
Potamogeton acutifolius,Germany,"Germany: Nordrhein-Westfalen. Sümpfe. Aachen. 1855, Leg.: Roemer.",50.77635192871094,6.083861827850342,1855-01-01,True,fuzzy,8,info,0.0761647657518161,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.083861827850342 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
Myosotis latifolia Poir.,Germany,"Germany: Berlin. cultivated at the Institute of Biology - Systematik Botany and Plant Geography - FU Berlin. Herkunft: Islas Canarias, Tenerife Municipio Icod, Los Silos, margin between Laurisilva and Fayal-Brezal, ca. 1000 m, very rare. 2006-08-16, Leg.: O. Mohr 608.",28.365556716918945,-16.816389083862305,2006-08-16,True,fuzzy,15,low,0.15,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 28.365556716918945 is outside the IQR fence [46.882, 55.785].",Low outlier detected in decimalLatitude by iqr_detector.
Myosotis latifolia Poir.,Germany,"Germany: Berlin. cultivated at the Institute of Biology - Systematik Botany and Plant Geography - FU Berlin. Wildherkunft: Islas Canarias, Tenerife Municipio Icod, Los Silos, margin between Laurisilva and Fayal-Brezal, ca. 1000 m, very rare. 2006-08-16, Leg.: O. Mohr 608.",28.365556716918945,-16.816389083862305,2006-08-16,True,fuzzy,15,low,0.15,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 28.365556716918945 is outside the IQR fence [46.882, 55.785].",Low outlier detected in decimalLatitude by iqr_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem. Herkunft: Graz, Botanischer Garden der Karl-Franzens Universität. Österreich: Kärnten, Lavanttaler Alpen, Koralpe, Kammweg zw. Seekar und Grossem Kar und Querung zum Großen Speikkogel, Silikatweiderasen und Krummseggenrasen, 1750 - 2140m. 2009-05-12, Leg.: Cubr 46348.",46.802734375,14.972820281982422,2009-05-12,True,fuzzy,8,info,0.0755375443293562,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 46.802734375 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Valeriana excelsa Poir.,Germany,"Germany: Nordrhein-Westfalen. Aachen, Geusenweg WSW Reinartzkehl,. Feldwegrand. Alt.: 280m. 10.07.2010, Leg.: M. Ristow 520/10.",50.758060455322266,6.033329963684082,2010-07-10,True,fuzzy,8,info,0.0764480044403185,iqr_detector,decimalLongitude,1,False,"decimalLongitude value 6.033329963684082 is outside the IQR fence [6.292, 16.996].",Info outlier detected in decimalLongitude by iqr_detector.
Cerinthe major subsp. oranensis (Batt.) Selvi & L.Cecchi,Germany,"Germany: Berlin. Source collection: Tunisia, Hamman-Lif beach, 25.04.2004. Cultivated in Berlin. 2010-02-25, Leg.: F. Selvi & M. Bigazzi 04.46-C.",36.729000091552734,10.347999572753906,2010-02-25,True,fuzzy,14,info,0.1434332947103015,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 36.729000091552734 is outside the IQR fence [46.882, 55.785].",Info outlier detected in decimalLatitude by iqr_detector.
Aizoon canariense,Germany,"Germany: Berlin. Kultivierte Pflanze. Herkunft: Spain, Islas Canarias, Tenerife Municipio Santiago del Teide, road towards Guia de Isora- Adeje, ca. 1 km after Tamaimo on left road side, 800 m. in vertical rock face, well shaded on slightly moist. 2005-09-15, Leg.: M. & K. Weigend 8705.",28.260995864868164,-16.816635131835938,2005-09-15,True,fuzzy,15,low,0.15,iqr_detector,decimalLatitude,1,False,"decimalLatitude value 28.260995864868164 is outside the IQR fence [46.882, 55.785].",Low outlier detected in decimalLatitude by iqr_detector.
