FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Centaurea montana L.,Germany,"Regierungsbezirk Oberbayern, Landkreis Miesbach, Fußweg im Uferwald entlag des N-Ufers der Mangfall zwischen Rainmühle und Thalmühl, in der Nähe des Wehrs an der Kläranlage.",47.76667022705078,11.76667022705078,1993-05-23,True,fuzzy,5,info,0.0528078022335145,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.52, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Centaurea montana L.,Germany,"Regierungsbezirk Oberbayern, Landkreis Miesbach, Fußweg im Uferwald entlag des N-Ufers der Mangfall zwischen Rainmühle und Thalmühl, in der Nähe des Wehrs an der Kläranlage.",47.76667022705078,11.76667022705078,1993-05-23,True,fuzzy,5,info,0.0528078022335145,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.52, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Pavia Istituto e Orto Botanico dell'Università di Pavia, Italien: P[a]sso Oclini, Höhe: 1800m. 2002-05-28, Leg.: Cubr 39737.",46.346675872802734,11.449792861938477,2002-05-28,True,fuzzy,7,info,0.0713523176775585,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -4.76, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem BG-Ort: AG. Herkunft: Graz Botanischer Gard[t]en der Karl-Franzens Universita[ä]t. [Wildherkunft: Wallis (Kanton), Berner Alpen, Gotthard-Gruppe, ""Gletscherboden"", Gletschervorfeld des Rhônegletschers. Rohböden auf Moränenmaterial. Höhe: 1770 - 1790m.] leg. Drescher, Drescher 8/1999. 2002-05-28, Leg.: Cubr 39738.",46.56666564941406,8.366666793823242,2002-05-28,True,fuzzy,7,info,0.0684793458254549,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -4.57, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem. BG-Ort: EW-01-006-03. Herkunft: Salzburg Botanischer Garten der Universität Salzburg, c/o Institut für Botanik der Universität, Abteilung f. Systematik u. Geobotanik Österreich: Salzburg, Dienten, 3 km E Dienten, SW Dientner Sattel, Hochmoorrest und Randbereiche, Torf, Höhe: 1320 m, leg. Gruber 8/2000. 2002-05-14, Leg.: Cubr 39611.",47.3869514465332,13.032703399658203,2002-05-14,True,fuzzy,6,info,0.0577667661678681,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.85, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Crepis conyzifolia (Gouan) A.Kern.,Germany,"Germany: Bayern. Allgäuer Alpen, Oberstdorf, Söllerkopf - Schlappolt-Alm, Wi. Alt.: 1750-1900 m. 14.08.2001, Leg.: R. Vogt 15753.",47.36027908325195,10.22972011566162,2001-08-14,True,fuzzy,6,info,0.0581150957589813,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.87, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Luzula nivea (L.) DC.,Germany,"Germany: Bayern, Hoher Kreuzberg, Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Südabfall des H. Kreuzberges zwischen 'Auf der Hochbrücke' und der großen Forststraßenkehre oberhalb der Forststraße, TK 8533/3. Südhang, Hauptdolomit, Buchenwald (Seslerio-Fagetum). Alt.: 1320m. 13.07.1999, Leg.: R. Urban s. n. ex herb. / ded. : Société pour l'Échange des Plantes Vasculaires de .",47.44694900512695,11.218609809875488,1999-07-13,True,fuzzy,6,info,0.0569832238610848,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.80, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Leucanthemum halleri (Vitmann) Ducommun,Germany,"Germany: Bayern. Landkreis Garmisch-Partenkirchen, Karwendelgebirge, Wörnerkar-Ausgang in Richtung Fereinsalm, TK 8534/1. offenes, lückiges Caricetum ferrugineae. Alt.: 1430 m. 22.07.1999, Leg.: R. Urban s. n.",47.45000076293945,11.333060264587402,1999-07-22,True,fuzzy,6,info,0.0569433692167927,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.80, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Minuartia austriaca (Jacq.) Hayek,Germany,"Germany: Bayern, Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Karwendelgebirge, Ausgang des Wörnerkares, TK 8534/1. Thlaspietum rotundifolii. Alt.: 1660m. 22.07.1999, Leg.: R. Urban s. n. ex herb. / ded. : Société pour l'Échange des Plantes Vasculaires de .",47.45610809326172,11.343050003051758,1999-07-22,True,fuzzy,6,info,0.056863610109903,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.79, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin- Dahlem, Revier: AG. BG Herk.: Oslo University of Oslo Botanical Garden [Wildherk.: Norwegen: Akershus, Enebakk, Omberg, Höhe: 180m] leg. Bjureke 30.07.1998. 2001-06-18, Leg.: Cubr 38671.",59.7335090637207,11.09965705871582,2001-06-18,True,fuzzy,10,info,0.1034739653376861,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score 6.90, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: AG, BG Herk.: Oslo University of Oslo Botanical Garden, Wildherk.: Norwegen: Akerhus, Nes, S. Rakeie, Höhe: 280m leg. Bjureke 20.8.1999. 2001-06-18, Leg.: Cubr 38672.",60.03799819946289,11.82800006866455,2001-06-18,True,fuzzy,11,info,0.1074504624719333,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score 7.16, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, BG-Ort: AG, Herkunft: Deutschland, Bayern, Oberallgäu, Immenstadt, Immerstädterhorn. leg. Loose 1.1.2000. 2002-05-28, Leg.: Cubr 39739.",47.55402374267578,10.186805725097656,2002-05-28,True,fuzzy,6,info,0.0555848738477901,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.71, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Atocion rupestre (L.) Oxelman,Germany,"Germany: Bayern, Oberstdorf, Laufbacher Eck, Beginn des Grats wenige m NE/oberhalb Wegkreuzung, TK 8628/1. Alt.: 2150m. 07.07.2001, Leg.: R. Hand & B. Raab 3432. ex herb. / ded. : ex Herbarium Ralf Hand.",47.383338928222656,10.366669654846191,2001-07-07,True,fuzzy,6,info,0.0578139441030489,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.85, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Kobresia myosuroides (Vill.) FIori,Germany,"Germany: Bayern. Oberstdorf, Fellhorngebiet, 150 m E Wirtshaus Adlerhof am Fuß der Kanzelwand, Bereich Endstation Zweiländerbahn. Alt.: 1960 m. 11.08.1999, Leg.: R. Hand, A. Krause & B. Raab 3489.",47.33583068847656,10.206669807434082,1999-08-11,True,fuzzy,6,info,0.0584343812780666,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.90, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Festuca pulchella Schrad. subsp. pulchella,Germany,"Germany: Bayern. Oberstdorf, ca. 450 m N Fellhorn, Grat Richtung Schlappoltkopf, bayerische Seite. Alt.: 1930 m. 06.07.2001, Leg.: R. Hand & B. Raab 3418.",47.35361099243164,10.217780113220217,2001-07-06,True,fuzzy,6,info,0.0582021781567596,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.88, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Scorzoneroides helvetica (Mérat) Holub,Germany,"Germany: Bayern. Oberstdorf, ca. 450 m N Fellhorn, Grat Richtung Schlappoltkopf, bayerische Seite. Alt.: 1930 m. 06.07.2001, Leg.: R. Hand & B. Raab 3417.",47.35361099243164,10.217780113220217,2001-07-06,True,fuzzy,6,info,0.0582021781567596,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.88, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Luzula sylvatica subsp. sieberi (Tausch) K.Richt.,Germany,"Germany: Bayern, Oberstdorf, ca. 450 m N Fellhorn, Grat Richtung Schlappoltkopf, bayerische Seite. Alt.: 1930m. 06.07.2001, Leg.: R. Hand & B. Raab 3416. ex herb. / ded. : ex Herbarium Ralf Hand.",47.35443878173828,10.21833038330078,2001-07-06,True,fuzzy,6,info,0.0581913675844953,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.88, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Luzula sylvatica subsp. sieberi (Tausch) K.Richt.,Germany,"Germany: Bayern, Oberstdorf, ca. 450 m N Fellhorn, Grat Richtung Schlappoltkopf, bayerische Seite. Alt.: 1930m. 06.07.2001, Leg.: R. Hand & B. Raab 3416. ex herb. / ded. : ex Herbarium Ralf Hand.",47.35443878173828,10.21833038330078,2001-07-06,True,fuzzy,6,info,0.0581913675844953,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.88, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Solidago virgaurea subsp. minuta (L.) Arcang.,Germany,"Germany: Bayern, Oberstdorf, ca. 450 m N Fellhorn, Grat Richtung Schlappoltkopf, bayerische Seite. Alt.: 1930m. 06.07.2001, Leg.: R. Hand & B. Raab 3415. ex herb. / ded. : ex Herbarium Ralf Hand.",47.35443878173828,10.21833038330078,2001-07-06,True,fuzzy,6,info,0.0581913675844953,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.88, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
Impatiens sp.,Germany,"Germany: Bayern. Lkr. Bad-Tölz-Wolfratshausen, SW Einsiedl, Krautfluren in Mischwald, Hangsumpf, 790 m. 2001-07-28, Leg.: Rita & Eckhard Willing 14.177 D.",47.56888961791992,11.297499656677246,2001-07-28,True,fuzzy,6,info,0.055390731911782,modified_zscore_detector,decimalLatitude,1,False,"decimalLatitude value has modified z-score -3.69, above threshold 3.5.",Info outlier detected in decimalLatitude by modified_zscore_detector.
