FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Acanthocereus horridus Britton & Rose,Germany,"Cultivated in the Botanic Garden Berlin; originally collected in: Mexico: Vera Cruz, bei Catemaco",,,1990-08-27,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Acanthocereus horridus Britton & Rose,Germany,"Cultivated in the Botanic Garden Berlin; originally collected in: Mexico: Vera Cruz, bei Catemaco",,,1990-08-27,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Acanthocereus (Engelm. ex A. Berger) Britton & Rose,Germany,"Cultivated in the Botanic Garden Berlin; provided by Kakteen von B. Leuenberger (cult.); originally collected in Mexico: Oaxaca, leg.: Ahlgrimm s.n.",,,1993-07-21,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Hypoxis colchicifolia Baker,Germany,"Port Natal. Nietner sem. Schönhausen Mai 65. [cultivated in the garden of Schloss Schönhausen, Berlin Niederschönhausen (Pankow) (ca. 52°34'48.0""N 13°24'19.2""E). From seeds originally collected in South Africa, Port Natal [Durban, KwaZulu-Natal] as ‘Spec. Port Natal’]. [protologue: ‘seeds received 1853; germinated 1854; the only flowering plant collected may 1856 by Theodor C.G. Nietner.]",52.58000183105469,13.405280113220217,1856-05,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Lonicera iberica M. Bieb.,Germany,"Cultivated in the Botanic Garden Berlin; provided by Teheran Research Institute of Forests and Rangelands, Botanical Garden of Iran",,,2002-05-27,True,confirmed,70,medium,0.7,semantic_rule_detector,"locality,habitat",1,False,Marine/coastal terms occur together with strong inland or mountain habitat terms.,"Medium outlier detected in locality,habitat by semantic_rule_detector."
Lonicera iberica M. Bieb.,Germany,"Cultivated in the Botanic Garden Berlin; provided by Teheran Research Institute of Forests and Rangelands, Botanical Garden of Iran",,,2002-05-27,True,confirmed,70,medium,0.7,semantic_rule_detector,"locality,habitat",1,False,Marine/coastal terms occur together with strong inland or mountain habitat terms.,"Medium outlier detected in locality,habitat by semantic_rule_detector."
Campanula rapunculus,Germany,"Bayern, Lkr. Weilheim-Schongau, N Ilgen (Bay 122)",47.73777770996094,10.884721755981444,2001-07-25,True,fuzzy,45,low,0.45,semantic_rule_detector,"locality,habitat",1,False,Record contains both water-related and dry-habitat terms.,"Low outlier detected in locality,habitat by semantic_rule_detector."
Dianthus superbus,Germany,"Germany: Bayern. Lkr. Garmisch-Partenkirchen, W Uffing (Bay 127). Sumpfwiese, z. Zt. trocken, Mähwiesen, 631 m. 2001-07-27, Leg.: R. & E. Willing 13.892 D.",47.714168548583984,11.135555267333984,2001-07-27,True,fuzzy,45,low,0.45,semantic_rule_detector,"locality,habitat",1,False,Record contains both water-related and dry-habitat terms.,"Low outlier detected in locality,habitat by semantic_rule_detector."
Carex echinata Murray,Germany,"Germany: Hessen, Dillkreis, Oberwesterwald, Aubachtal bei Langenaubach, Wald am Wildweiberhäuschen, TK 5215/3. Alt.: 450m. 04.06.1978, Leg.: H. Kalheber 78-294. ex herb. / ded. : ex Herbarium Heinz Kalheber.",50.70833969116211,8.183329582214355,1978-06-04,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Carex echinata Murray,Germany,"Germany: Niedersachsen, Eitzter [sic] Moor sö Verden. 03.06.1981, Leg.: M. H. Kuhbier s. n. ex herb. / ded. : ex Herbarium BREM.",52.90555953979492,9.292499542236328,1981-06-03,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Salvia divinorum Epling & Játiva,Germany,"Cultivated in the Botanic Garden Berlin; originally collected in Mexico: Oaxaca, Llano de Arnica, Tropischer Regen- u. Nebelwald, Alt.: 800-1000m. - leg. 9/1999",,,2004-02-27,True,confirmed,85,medium,0.85,semantic_rule_detector,"country,locality",1,False,"Country is Germany, but the locality text contains strong foreign-country indicators.This can imply that the sample is collected abroad.","Medium outlier detected in country,locality by semantic_rule_detector."
Campanula rapunculoides L.,Germany,"Cultivated in the Botanic Garden Berlin Akz.nr. 301-26-03-10; originally collected in Italy: Lombardei, Sondrio (Prov.), Sondrio, Alpi Retiche, W Chiesa, Wanderweg nach Ponte, Laubmischwald, Wegrand, Halbschatten, eisen- u. magnesiumhaltiges, metamorphites Gestein, 1400-1520 m, 06.09.2003, leg. Dürbye DÜR 2448 & Rost, Henneken",,,2004-06-29,True,confirmed,70,medium,0.7,semantic_rule_detector,"locality,habitat",1,False,Marine/coastal terms occur together with strong inland or mountain habitat terms.,"Medium outlier detected in locality,habitat by semantic_rule_detector."
