FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin- Dahlem, Revier: AG. BG Herk.: Oslo University of Oslo Botanical Garden [Wildherk.: Norwegen: Akershus, Enebakk, Omberg, Höhe: 180m] leg. Bjureke 30.07.1998. 2001-06-18, Leg.: Cubr 38671.",59.7335090637207,11.09965705871582,2001-06-18,True,fuzzy,25,low,0.2455526931102173,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score 4.21, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Arnica montana,Germany,"Germany: Berlin. Kultiviert im Botanischen Garten Berlin-Dahlem, Revier: AG, BG Herk.: Oslo University of Oslo Botanical Garden, Wildherk.: Norwegen: Akerhus, Nes, S. Rakeie, Höhe: 280m leg. Bjureke 20.8.1999. 2001-06-18, Leg.: Cubr 38672.",60.03799819946289,11.82800006866455,2001-06-18,True,fuzzy,25,low,0.2542636361222778,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score 4.36, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Myosotis latifolia Poir.,Germany,"Germany: Berlin. cultivated at the Institute of Biology - Systematik Botany and Plant Geography - FU Berlin. Herkunft: Islas Canarias, Tenerife Municipio Icod, Los Silos, margin between Laurisilva and Fayal-Brezal, ca. 1000 m, very rare. 2006-08-16, Leg.: O. Mohr 608.",28.365556716918945,-16.816389083862305,2006-08-16,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -11.17, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Myosotis latifolia Poir.,Germany,"Germany: Berlin. cultivated at the Institute of Biology - Systematik Botany and Plant Geography - FU Berlin. Wildherkunft: Islas Canarias, Tenerife Municipio Icod, Los Silos, margin between Laurisilva and Fayal-Brezal, ca. 1000 m, very rare. 2006-08-16, Leg.: O. Mohr 608.",28.365556716918945,-16.816389083862305,2006-08-16,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -11.17, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Cerinthe major subsp. oranensis (Batt.) Selvi & L.Cecchi,Germany,"Germany: Berlin. Source collection: Tunisia, Hamman-Lif beach, 25.04.2004. Cultivated in Berlin. 2010-02-25, Leg.: F. Selvi & M. Bigazzi 04.46-C.",36.729000091552734,10.347999572753906,2010-02-25,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -7.07, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Aizoon canariense,Germany,"Germany: Berlin. Kultivierte Pflanze. Herkunft: Spain, Islas Canarias, Tenerife Municipio Santiago del Teide, road towards Guia de Isora- Adeje, ca. 1 km after Tamaimo on left road side, 800 m. in vertical rock face, well shaded on slightly moist. 2005-09-15, Leg.: M. & K. Weigend 8705.",28.260995864868164,-16.816635131835938,2005-09-15,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -11.23, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Scabiosa atropurpurea (L.) Greuter & Burdet,Germany,"Germany: dép. Vaucluse. Luberon, Saignon, in the castle area, medium level. disturbed ground on calcareous sandstone rocks. Alt.: 496 m. 11.09.2013, Leg.: R. Hand 6341.",43.86333084106445,5.428890228271484,2013-09-11,True,fuzzy,21,low,0.208467506171551,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -3.57, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Scabiosa atropurpurea (L.) Greuter & Burdet,Germany,"Germany: dép. Vaucluse. Luberon, Saignon, in the castle area, medium level. disturbed ground on calcareous sandstone rocks. Alt.: 496 m. 11.09.2013, Leg.: R. Hand 6341.",43.86333084106445,5.428890228271484,2013-09-11,True,fuzzy,21,low,0.208467506171551,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -3.57, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Adenocarpus telonensis (Loisel.) DC.,Germany,"Germany: dép. Var. Bormes-les-Mimosas, forest road from Col de Gratteloup towards Vallon du Fumas. dense maquis with much Quercus suber. Alt.: 287 m. 19.09.2013, Leg.: R. Hand 6350.",43.17082977294922,6.334440231323242,2013-09-19,True,fuzzy,23,low,0.2282788446793736,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -3.91, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Seseli galloprovinciale Reduron,Germany,"Germany: dép. Alpes-de-Haute-Provence. Castellane, at fossil excavation site near Col de Léques, beside exhibition. rocky slope, Jurassic limestone. Alt.: 1207 m. 10.09.2013, Leg.: R. Hand 6336.",43.87665939331055,6.459440231323242,2013-09-10,True,fuzzy,21,low,0.2080861977916445,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -3.57, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Seseli galloprovinciale Reduron,Germany,"Germany: dép. Alpes-de-Haute-Provence. Castellane, at fossil excavation site near Col de Léques, beside exhibition. rocky slope, Jurassic limestone. Alt.: 1207 m. 10.09.2013, Leg.: R. Hand 6336.",43.87665939331055,6.459440231323242,2013-09-10,True,fuzzy,21,low,0.2080861977916445,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -3.57, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Silene armeria L.,Germany,Flora von Neustadt Ebw. [Eberswalde]: beim großen See.,0.0024999999441206,,1858-07,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -25.08, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Ephedra nebrodensis,Germany,"Germany: Berlin. Col. in horto bot. Berol. 1947-10-08, Leg.: C. Risch.",-22.67132568359375,14.985591888427734,1947-10-08,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -36.20, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
Austrocynoglossum latifolium (R.Br.) R.R.Mill,Germany,"Germany: Berlin. Cultivated in the greenhouse in Berlin. Source collection: seed collected by Jan Allen & Joanne King in Australia, New South Wales. Flat land either side of track in Claustral Canynon [Canyon], appr. 60 km N of South Tomah Trig, close to end of Charleys road. Kraznozem clay loam soils derived from basalt rock. Under Acacia melanoxylon and Doryphora sassafras, with Pteridium esculentum, Melicytus dentatus and Dennstaedtia davallioides, Gahnia sp. Occasional Rubus sp. (introduced blackberry). 2011-02-21, Leg.: M. Weigend, Jan Allen & Joanne King 9441.",-33.55777740478516,150.42416381835938,2011-02-21,True,fuzzy,35,low,0.35,zscore_detector,decimalLatitude,1,False,"decimalLatitude value has z-score -41.54, above threshold 3.0.",Low outlier detected in decimalLatitude by zscore_detector.
